id,text,theme,polarity,theme_starts,theme_ends,polarity_id
g1079435-d3498474-r271346275,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",service,neutral,3,10,0
g1079435-d3498474-r271346275,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",plats,negative,27,32,1
g1079435-d3498474-r271346275,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",sauces,negative,47,53,1
g1079435-d3498474-r271346275,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",resto,negative,242,247,1
g1080298-d1332050-r275655485,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",ambiance,positive,23,31,2
g1080298-d1332050-r275655485,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",promenade,positive,40,49,2
g1080298-d1332050-r275655485,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",service,positive,97,104,2
g1080298-d4701165-r281527562,"on s'attendait à mieux (attente, qualité moyenne).",attente,negative,24,31,1
g1080559-d3686505-r151173923,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,adresse,positive,4,11,2
g1080559-d3686505-r151173923,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,vue,positive,30,33,2
g1080559-d3686505-r151173923,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,cuisine,positive,124,131,2
g1080559-d3686505-r151173923,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,service,positive,155,162,2
g1080574-d1337519-r211045323,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",lasagnes,negative,24,32,1
g1080574-d1337519-r211045323,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",fromage,negative,60,67,1
g1080574-d1337519-r211045323,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",concentré de tomates,negative,125,145,1
g1080574-d1337519-r211045323,Dessert tout sauf maison .... !,Dessert,negative,0,7,1
g1582538-d3877732-r250915172,Le menu du jour est très bon et bien servi!,menu du jour,positive,3,15,2
g1582538-d3877732-r250915172,"toujours très original, on y goutte des plats qu'on ne verra pas autre part.",plats,positive,40,45,2
g1582538-d3877732-r250915172,"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!",table des desserts,positive,3,21,2
g1582538-d3877732-r250915172,"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!",tarte gourmande,positive,78,93,2
g1582538-d3877732-r250915172,"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!",gâteau,positive,100,106,2
g1582538-d3877732-r250915172,Et l'équipe est adorable!,équipe,positive,5,11,2
g1582538-d3877732-r250915172,Y aller également pour la terrasse qui est très jolie!,terrasse,positive,26,34,2
g1833139-d7211477-r282922737,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,cuisine,positive,53,60,2
g1833139-d7211477-r282922737,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,endroit,positive,76,83,2
g1833139-d7211477-r282922737,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,tartare,positive,99,106,2
g1833139-d7211477-r282922737,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,frites,positive,127,133,2
g1833139-d7211477-r282922737,concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,frites,positive,127,133,2
g187073-d1328515-r282975754,2 heures dattentes minumum aucun service et patronne execrable !,attentes,negative,10,18,1
g187073-d1328515-r282975754,2 heures dattentes minumum aucun service et patronne execrable !,service,negative,33,40,1
g187073-d1328515-r282975754,2 heures dattentes minumum aucun service et patronne execrable !,patronne,negative,44,52,1
g187073-d2234111-r233672137,"situé dans la petite Venise avec terrasse au bord de l'eau, l'endroit semblait idéal pour cette journée passée à Colmar.",terrasse au bord de l'eau,positive,33,58,2
g187073-d2234111-r233672137,"situé dans la petite Venise avec terrasse au bord de l'eau, l'endroit semblait idéal pour cette journée passée à Colmar.",endroit,positive,62,69,2
g187073-d2234111-r233672137,"Puis nous avons été, disons, surpris par l'accueil.",accueil,negative,43,50,1
g187073-d2234111-r233672137,"Même si le repas fut assez copieux et bon, nous avons pas pris autant de plaisir que le lieu nous laissait espéré.",repas,positive,11,16,2
g187073-d2234111-r233672137,"Même si le repas fut assez copieux et bon, nous avons pas pris autant de plaisir que le lieu nous laissait espéré.",repas,positive,11,16,2
g187073-d2234111-r233672137,"Même si le repas fut assez copieux et bon, nous avons pas pris autant de plaisir que le lieu nous laissait espéré.",lieu,negative,88,92,1
g187073-d2346663-r285268023,"Le service est moyen, les plats également et les prix sont élevés par rapport à la qualité et à la quantité",service,negative,3,10,1
g187073-d2346663-r285268023,"Le service est moyen, les plats également et les prix sont élevés par rapport à la qualité et à la quantité",plats,negative,26,31,1
g187073-d2346663-r285268023,"Le service est moyen, les plats également et les prix sont élevés par rapport à la qualité et à la quantité",plats,negative,26,31,1
g187073-d2705770-r280684337,"Nous sommes habitués de l'établissement depuis 3ans, et le restaurant ne fais que s'améliorer.",restaurant,positive,59,69,2
g187073-d2705770-r280684337,"La cuisine est travaillée et change régulièrement, le service est très professionnel, attentionné et charmant.",cuisine,positive,3,10,2
g187073-d2705770-r280684337,"La cuisine est travaillée et change régulièrement, le service est très professionnel, attentionné et charmant.",cuisine,positive,3,10,2
g187073-d2705770-r280684337,"La cuisine est travaillée et change régulièrement, le service est très professionnel, attentionné et charmant.",service,positive,54,61,2
g187073-d6353467-r248081497,La chaleur de l'établissement et des serveurs contribuent à un bien-être certain!!,établissement,positive,16,29,2
g187073-d6353467-r248081497,La chaleur de l'établissement et des serveurs contribuent à un bien-être certain!!,serveurs,positive,37,45,2
g187073-d6353467-r248081497,La nourriture et le vin proposé étaient succulents.,nourriture,positive,3,13,2
g187073-d6353467-r248081497,La nourriture et le vin proposé étaient succulents.,vin,positive,20,23,2
g187075-d1324447-r268262547,Accueil minable !,Accueil,negative,0,7,1
g187075-d1324447-r268262547,Attente interminable !,Attente,negative,0,7,1
g187075-d1324447-r268262547,Nous alertons le personnel qui rejette la faute sur nous (insectes venant de l'extérieur).,personnel,negative,17,26,1
g187075-d2494303-r273809197,L'accueil fait par la patronne est toujours souriant et sympathique et le service dynamique et professionnel.,accueil,positive,2,9,2
g187075-d2494303-r273809197,Connaissant bien la cuisine de son mari je ne suis pas étonné de la qualité du plat du jour.,plat du jour.,positive,79,92,2
g187075-d2494303-r273809197,Connaissant bien la cuisine de son mari je ne suis pas étonné de la qualité du plat du jour.,cuisine,positive,20,27,2
g187075-d2494303-r273809197,"Le cadre vient d'être rafraichi il y a quelques semaines et la maison à colombage qui abrite le restaurant a été rénovée également, bref : Que du positif.",cadre,positive,3,8,2
g187075-d2494303-r273809197,"Le cadre vient d'être rafraichi il y a quelques semaines et la maison à colombage qui abrite le restaurant a été rénovée également, bref : Que du positif.",maison à colombage,positive,63,81,2
g187075-d3489527-r254992608,"Petit restaurant au décor soigné, aux tables bien mises.",décor,positive,20,25,2
g187075-d3489527-r254992608,"L'accueil manque un peu de chaleur, le service qui suivra également.",accueil,negative,2,9,1
g187075-d3489527-r254992608,"L'accueil manque un peu de chaleur, le service qui suivra également.",service,negative,39,46,1
g187075-d3489527-r254992608,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé"".",menus,negative,15,20,1
g187075-d3489527-r254992608,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé"".",hoummous,positive,102,110,2
g187075-d3489527-r254992608,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé"".",taboulé,positive,112,119,2
g187075-d3489527-r254992608,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé"".",purée d'aubergine,negative,174,191,1
g187075-d3489527-r254992608,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé"".",boulettes,negative,210,219,1
g187075-d3489527-r254992608,Mention spéciale toutefois à la carte des vins (libanais) et au geste du restaurateur qui a offert une partie des desserts.,carte des vins,positive,32,46,2
g187075-d3489527-r254992608,Mention spéciale toutefois à la carte des vins (libanais) et au geste du restaurateur qui a offert une partie des desserts.,restaurateur,positive,73,85,2
g187077-d2250282-r285122402,Excellent restaurant a tout point de vue le service la patronne très agréable les plats excellents le vin très bon !,restaurant,positive,10,20,2
g187077-d2250282-r285122402,Excellent restaurant a tout point de vue le service la patronne très agréable les plats excellents le vin très bon !,service,positive,44,51,2
g187077-d2250282-r285122402,Excellent restaurant a tout point de vue le service la patronne très agréable les plats excellents le vin très bon !,patronne,positive,55,63,2
